authors,title,pub,pages,year,conference,type,link,award,acceptance
"Sen, Shilad; Lam, Shyong K; Rashid, Al Mamunur; Cosley, Dan; Frankowski, Dan; Osterhouse, Jeremy; Harper, F Maxwell; Riedl, John; ","Tagging, communities, vocabulary, evolution",Proceedings of the 2006 20th anniversary conference on Computer supported cooperative work,181-190,2006,CSCW 2006,conference,http://www.shilad.com,Winner of Best Paper,22
"Frankowski, Dan; Cosley, Dan; Sen, Shilad; Terveen, Loren; Riedl, John; ",You are what you say: privacy risks of public mentions,Proceedings of the 29th annual international ACM SIGIR conference on Research and development in information retrieval,565-572,2006,SIGIR 2006,conference,http://www.shilad.com,,19
"Sen, Shilad; Geyer, Werner; Muller, Michael; Moore, Marty; Brownholtz, Beth; Wilcox, Eric; Millen, David R; ",FeedMe: a collaborative alert filtering system,Proceedings of the 2006 20th anniversary conference on Computer supported cooperative work,89-98,2006,CSCW 2006,conference,http://www.shilad.com,,22
"Schafer, J Ben; Frankowski, Dan; Herlocker, Jon; Sen, Shilad; ",Collaborative filtering recommender systems,The adaptive web,291-324,2007,Springer Berlin Heidelberg,chapter,http://www.shilad.com,,
"Sen, Shilad; Harper, F Maxwell; LaPitz, Adam; Riedl, John; ",The quest for quality tags,Proceedings of the 2007 international ACM conference on Supporting group work,361-370,2007,GROUP 2007,conference,http://www.shilad.com,,28
"Harper, F Maxwell; Sen, Shilad; Frankowski, Dan; ",Supporting social recommendations with activity-balanced clustering,Proceedings of the 2007 ACM conference on Recommender systems,165-168,2007,RecSys 2007,conference,http://www.shilad.com,,30
"Frankowski, Dan; Lam, Shyong K; Sen, Shilad; Harper, F Maxwell; Yilek, Scott; Cassano, Michael; Riedl, John; ",Recommenders everywhere:: the WikiLens community-maintained recommender system,Proceedings of the 2007 international symposium on Wikis,47-60,2007,WikiSym 2008,conference,http://www.shilad.com,,
"Drenner, Sara; Sen, Shilad; Terveen, Loren; ",Crafting the initial user experience to achieve community goals,Proceedings of the 2008 ACM conference on Recommender systems,187-194,2008,RecSys 2008,conference,http://www.shilad.com,,30
"Sen, Shilad; Vig, Jesse; Riedl, John; ",Tagommenders: connecting users to items through tags,Proceedings of the 18th international conference on World wide web,671-680,2009,WWW 2008,conference,http://www.shilad.com,,11
"Vig, Jesse; Sen, Shilad; Riedl, John; ",Tagsplanations: explaining recommendations using tags,Proceedings of the 14th international conference on Intelligent user interfaces,47-56,2009,IUI 2009,conference,http://www.shilad.com,Winner of Best Paper,25
"Sen, Shilad; Vig, Jesse; Riedl, John; ",Learning to recognize valuable tags,Proceedings of the 14th international conference on Intelligent user interfaces,87-96,2009,IUI 2009,conference,http://www.shilad.com,,25
"Sen, Shilad Wieland; ",Nurturing tagging communities,,,2009,University of Minnesota,dissertation,http://www.shilad.com,,
"Sen, Shilad W; Vig, Jesse; Soukup, Matthew; Riedl, John; ",Tag Expression: Tagging with Feeling,UIST'10: Proceedings of the 23nd Annual ACM Symposium on User Interface Software and Technology,,2010,UIS 2010,conference,http://www.shilad.com,,18
"Lam, Shyong Tony K; Uduwage, Anuradha; Dong, Zhenhua; Sen, Shilad; Musicant, David R; Terveen, Loren; Riedl, John; ",WP: clubhouse?: an exploration of Wikipedia's gender imbalance,Proceedings of the 7th International Symposium on Wikis and Open Collaboration,10-Jan,2011,WikiSym 2011,conference,http://www.shilad.com,Winner of Best Paper,42
"Vig, Jesse; Sen, Shilad; Riedl, John; ",Navigating the tag genome,Proceedings of the 16th international conference on Intelligent user interfaces,93-102,2011,IUI 2011,conference,http://www.shilad.com,Nominated for Best Paper,29
"Sparling, E Isaac; Sen, Shilad; ",Rating: how difficult is it?,Proceedings of the fifth ACM conference on Recommender systems,149-156,2011,RecSys 2011,conference,http://www.shilad.com,,20
"Sen, Shilad; Riedl, John; ",Folksonomy Formation,Computer,97-101,2011,IEEE,conference,http://www.shilad.com,,
"Sen, Shilad; Charlton, Henry; Kerwin, Ryan; Lim, Jeremy; Maus, Brandon; Miller, Nathaniel; Naminski, Megan R; Schneeman, Alex; Tran, Anthony; Nunes, Ernesto; ",Macademia: semantic visualization of research interests,Proceedings of the 16th international conference on Intelligent user interfaces,457-458,2011,IUI 2011,conference,http://www.shilad.com,,
"Priedhorsky, Reid; Pitchford, David; Sen, Shilad; Terveen, Loren; ","Recommending routes in the context of bicycling: algorithms, evaluation, and the value of personalization",Proceedings of the ACM 2012 conference on Computer Supported Cooperative Work,979-988,2012,CSCW 2012,conference,http://www.shilad.com,,39
"Dong, Zhenhua; Shi, Chuan; Sen, Shilad; Terveen, Loren; Riedl, John; ",War Versus Inspirational in Forrest Gump: Cultural Effects in Tagging Communities,Sixth International AAAI Conference on Weblogs and Social Media,,2012,ICWSM 2012,conference,http://www.shilad.com,,20
"Kluver, Daniel; Nguyen, Tien T; Ekstrand, Michael; Sen, Shilad; Riedl, John; ",How many bits per rating?,Proceedings of the sixth ACM conference on Recommender systems,99-106,2012,RecSys 2012,conference,http://www.shilad.com,,20
"Vig, Jesse; Sen, Shilad; Riedl, John; ",The Tag Genome: Encoding Community Knowledge to Support Novel Interaction,ACM Transactions on Interactive Intelligent Systems (TiiS),13,2012,ACM TiiS,journal,http://www.shilad.com,,
"Ford, Heather; Sen, Shilad; Musicant, David R; Miller, Nathaniel; ",Getting to the Source: Where does Wikipedia Get Its Information From?,,,2013,WikiSym 2013,conference,http://www.shilad.com,,2013
"Vig, Jesse; Sen, Shilad; Riedl, J; ",Computing the tag genome,,,2011,"Technical report, University of Minnesota, 2010. http://www. grouplens. org/system/files/genome. pdf",tech,http://www.shilad.com,,
